donor,model,metric,within_donor_seed_sd
Donor05,totalvi,error_prevalence,0.014108204608078259
Donor06,scvi_matched,error_prevalence,0.01374663452106263
Donor06,totalvi,error_prevalence,0.008843533616981147
Donor07,scvi_matched,error_prevalence,0.011361431494484516
Donor07,totalvi,error_prevalence,0.009736714676235013
Donor08,scvi_matched,error_prevalence,0.013971498580141163
Donor08,totalvi,error_prevalence,0.009172560850705648
Donor09,scvi_matched,error_prevalence,0.005791948926254469
Donor09,totalvi,error_prevalence,0.005307036543158834
Donor10,scvi_matched,error_prevalence,0.012714028384809175
Donor10,totalvi,error_prevalence,0.005749595745760695
