donor,metric,scvi_mean_over_seeds,totalvi_mean_over_seeds,delta,median_delta,sd_delta_across_donors,n_donors_positive,n_donors_negative,n_donors_equal,n_donors
Donor01,error_prevalence,0.22919896640826876,0.12894056847545218,-0.10025839793281657,,,,,,
Donor02,error_prevalence,0.22318339100346024,0.12422145328719722,-0.09896193771626302,,,,,,
Donor03,error_prevalence,0.20356435643564358,0.1188118811881188,-0.08475247524752477,,,,,,
Donor04,error_prevalence,0.250191570881226,0.13314176245210727,-0.11704980842911875,,,,,,
Donor05,error_prevalence,0.25077989601386486,0.14800693240901214,-0.10277296360485272,,,,,,
Donor06,error_prevalence,0.2586919104991394,0.13975903614457832,-0.1189328743545611,,,,,,
Donor07,error_prevalence,0.2968695652173913,0.1848695652173913,-0.11199999999999996,,,,,,
Donor08,error_prevalence,0.26526479750778814,0.1453271028037383,-0.11993769470404983,,,,,,
Donor09,error_prevalence,0.19293893129770992,0.11221374045801527,-0.08072519083969465,,,,,,
Donor10,error_prevalence,0.23388429752066114,0.12876033057851238,-0.10512396694214876,,,,,,
SUMMARY,error_prevalence,0.24045676827851534,0.13640523730141232,-0.10405153097710303,-0.10394846527350074,0.013603946824118918,0.0,10.0,0.0,10.0
