/home/jizhu/miniconda3/envs/multiomics_robustness/lib/python3.11/site-packages/anndata/utils.py:434: FutureWarning: Importing read_csv from `anndata` is deprecated. Import anndata.io.read_csv instead.
  warnings.warn(msg, FutureWarning)
/home/jizhu/miniconda3/envs/multiomics_robustness/lib/python3.11/site-packages/anndata/utils.py:434: FutureWarning: Importing read_excel from `anndata` is deprecated. Import anndata.io.read_excel instead.
  warnings.warn(msg, FutureWarning)
/home/jizhu/miniconda3/envs/multiomics_robustness/lib/python3.11/site-packages/anndata/utils.py:434: FutureWarning: Importing read_hdf from `anndata` is deprecated. Import anndata.io.read_hdf instead.
  warnings.warn(msg, FutureWarning)
/home/jizhu/miniconda3/envs/multiomics_robustness/lib/python3.11/site-packages/anndata/utils.py:434: FutureWarning: Importing read_loom from `anndata` is deprecated. Import anndata.io.read_loom instead.
  warnings.warn(msg, FutureWarning)
/home/jizhu/miniconda3/envs/multiomics_robustness/lib/python3.11/site-packages/anndata/utils.py:434: FutureWarning: Importing read_mtx from `anndata` is deprecated. Import anndata.io.read_mtx instead.
  warnings.warn(msg, FutureWarning)
/home/jizhu/miniconda3/envs/multiomics_robustness/lib/python3.11/site-packages/anndata/utils.py:434: FutureWarning: Importing read_text from `anndata` is deprecated. Import anndata.io.read_text instead.
  warnings.warn(msg, FutureWarning)
/home/jizhu/miniconda3/envs/multiomics_robustness/lib/python3.11/site-packages/anndata/utils.py:434: FutureWarning: Importing read_umi_tools from `anndata` is deprecated. Import anndata.io.read_umi_tools instead.
  warnings.warn(msg, FutureWarning)
2026-09-10 03:29:52,321 | INFO | phase12a_analysis | direction_A__totalvi__subset4__seed00__rep01 macroF1=0.6123 AUROC=0.8534
2026-09-10 03:29:52,674 | INFO | phase12a_analysis | direction_A__totalvi__subset4__seed01 macroF1=0.5981 AUROC=0.8380
2026-09-10 03:29:53,054 | INFO | phase12a_analysis | direction_A__totalvi__subset4__seed01__rep01 macroF1=0.6254 AUROC=0.8362
2026-09-10 03:29:53,403 | INFO | phase12a_analysis | direction_A__totalvi__subset4__seed02 macroF1=0.5991 AUROC=0.8489
2026-09-10 03:29:53,763 | INFO | phase12a_analysis | direction_A__totalvi__subset4__seed02__rep01 macroF1=0.6013 AUROC=0.8428
2026-09-10 03:29:54,121 | INFO | phase12a_analysis | direction_A__totalvi__subset4__seed03 macroF1=0.6204 AUROC=0.8555
2026-09-10 03:29:54,511 | INFO | phase12a_analysis | direction_A__totalvi__subset4__seed03__rep01 macroF1=0.6103 AUROC=0.8546
2026-09-10 03:29:54,882 | INFO | phase12a_analysis | direction_A__totalvi__subset4__seed04 macroF1=0.5861 AUROC=0.8229
2026-09-10 03:29:55,275 | INFO | phase12a_analysis | direction_A__totalvi__subset4__seed04__rep01 macroF1=0.6397 AUROC=0.8243
2026-09-10 03:29:55,441 | INFO | phase12a_analysis | replicate 0 reproduces PHASE 11B exactly (max abs diff 9.714e-17)
2026-09-10 03:29:55,441 | INFO | phase12a_analysis | score done: 100 rows
2026-09-10 03:29:55,442 | INFO | phase12a_analysis | === stage variance (2026-09-09T17:29:55.442388+00:00) ===
2026-09-10 03:29:55,455 | INFO | phase12a_analysis | scvi_matched macro_f1: source 0.023 seed 0.000 interaction 0.355 residual 0.622 (p_interaction=0.0428)
2026-09-10 03:29:55,467 | INFO | phase12a_analysis | scvi_matched error_auroc: source 0.000 seed 0.084 interaction 0.207 residual 0.709 (p_interaction=0.147)
2026-09-10 03:29:55,478 | INFO | phase12a_analysis | scvi_matched error_auprc: source 0.011 seed 0.000 interaction 0.284 residual 0.705 (p_interaction=0.0899)
2026-09-10 03:29:55,490 | INFO | phase12a_analysis | scvi_matched nll: source 0.102 seed 0.168 interaction 0.269 residual 0.460 (p_interaction=0.0401)
2026-09-10 03:29:55,502 | INFO | phase12a_analysis | scvi_matched brier: source 0.070 seed 0.088 interaction 0.273 residual 0.569 (p_interaction=0.064)
2026-09-10 03:29:55,513 | INFO | phase12a_analysis | scvi_matched ece: source 0.024 seed 0.000 interaction 0.094 residual 0.882 (p_interaction=0.324)
2026-09-10 03:29:55,525 | INFO | phase12a_analysis | scvi_matched aurc: source 0.061 seed 0.098 interaction 0.333 residual 0.508 (p_interaction=0.0293)
2026-09-10 03:29:55,538 | INFO | phase12a_analysis | totalvi macro_f1: source 0.000 seed 0.056 interaction 0.032 residual 0.911 (p_interaction=0.427)
2026-09-10 03:29:55,549 | INFO | phase12a_analysis | totalvi error_auroc: source 0.000 seed 0.200 interaction 0.302 residual 0.498 (p_interaction=0.0365)
2026-09-10 03:29:55,561 | INFO | phase12a_analysis | totalvi error_auprc: source 0.002 seed 0.031 interaction 0.388 residual 0.579 (p_interaction=0.0276)
2026-09-10 03:29:55,572 | INFO | phase12a_analysis | totalvi nll: source 0.000 seed 0.041 interaction 0.000 residual 0.959 (p_interaction=0.83)
2026-09-10 03:29:55,583 | INFO | phase12a_analysis | totalvi brier: source 0.000 seed 0.028 interaction 0.115 residual 0.857 (p_interaction=0.289)
2026-09-10 03:29:55,595 | INFO | phase12a_analysis | totalvi ece: source 0.025 seed 0.033 interaction 0.000 residual 0.943 (p_interaction=0.631)
2026-09-10 03:29:55,607 | INFO | phase12a_analysis | totalvi aurc: source 0.000 seed 0.040 interaction 0.170 residual 0.790 (p_interaction=0.206)
2026-09-10 03:29:55,608 | INFO | phase12a_analysis | delta macro_f1: source 0.051 seed 0.120 interaction 0.141 residual 0.688 (p_interaction=0.214)
2026-09-10 03:29:55,609 | INFO | phase12a_analysis | delta error_auroc: source 0.000 seed 0.131 interaction 0.129 residual 0.740 (p_interaction=0.245)
2026-09-10 03:29:55,611 | INFO | phase12a_analysis | delta error_auprc: source 0.167 seed 0.010 interaction 0.174 residual 0.649 (p_interaction=0.163)
2026-09-10 03:29:55,612 | INFO | phase12a_analysis | delta nll: source 0.069 seed 0.196 interaction 0.006 residual 0.729 (p_interaction=0.472)
2026-09-10 03:29:55,613 | INFO | phase12a_analysis | delta brier: source 0.022 seed 0.114 interaction 0.263 residual 0.602 (p_interaction=0.0773)
2026-09-10 03:29:55,615 | INFO | phase12a_analysis | delta ece: source 0.030 seed 0.030 interaction 0.121 residual 0.818 (p_interaction=0.273)
2026-09-10 03:29:55,616 | INFO | phase12a_analysis | delta aurc: source 0.000 seed 0.056 interaction 0.358 residual 0.586 (p_interaction=0.0356)
2026-09-10 03:29:55,620 | INFO | phase12a_analysis | variance done
2026-09-10 03:29:55,620 | INFO | phase12a_analysis | === stage percell (2026-09-09T17:29:55.620200+00:00) ===
2026-09-10 03:29:59,558 | INFO | phase12a_analysis | setup: 20 common l2 classes, 3305 fixed target cells
2026-09-10 03:29:59,751 | INFO | phase12a_analysis | scvi_matched per-cell medians: source 0.101 seed 0.011 interaction 0.000 residual 0.776
2026-09-10 03:29:59,795 | INFO | phase12a_analysis | totalvi per-cell medians: source 0.055 seed 0.020 interaction 0.010 residual 0.808
2026-09-10 03:29:59,864 | INFO | phase12a_analysis | percell done: 3305 cells x 2 models
double free or corruption (out)
